Name,Team,NOC,Games,City,Sport,Event,Medal
Adolf Bergman,Sweden,SWE,1912 Summer,Stockholm,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Adolf Dirk Coenraad van der Voort van Zijp,Netherlands,NED,1924 Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
Adolf Dirk Coenraad van der Voort van Zijp,Netherlands,NED,1924 Summer,Paris,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Adolf Dirk Coenraad van der Voort van Zijp,Netherlands,NED,1928 Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Adolf Hoch,Austria,AUT,1948 Summer,London,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
Adolf Spinnler,Switzerland,SUI,1904 Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",Gold
Adolf Valentin Lindfors,Finland,FIN,1920 Summer,Antwerpen,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Adolfo Consolini,Italy,ITA,1948 Summer,London,Athletics,Athletics Men's Discus Throw,Gold
Adolfo Tunesi,Italy,ITA,1912 Summer,Stockholm,Gymnastics,Gymnastics Men's Team All-Around,Gold
Adolph Gustav Kiefer,United States,USA,1936 Summer,Berlin,Swimming,Swimming Men's 100 metres Backstroke,Gold
Adrian Charles Ellison,Great Britain,GBR,1984 Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,Gold
Adrian David Moorhouse,Great Britain,GBR,1988 Summer,Seoul,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Adrian Delano Dantley,United States,USA,1976 Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
Adrian Edward Zieliski,Poland,POL,2012 Summer,London,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Adrian Howard Smith,United States,USA,1960 Summer,Roma,Basketball,Basketball Men's Basketball,Gold
Adrian Philip Parker,Great Britain,GBR,1976 Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
"Adrianus ""Janus"" van Merrienboer",Netherlands,NED,1920 Summer,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold
"Adrianus Cornelis ""Janus"" Theeuwes",Netherlands,NED,1920 Summer,Antwerpen,Archery,"Archery Men's Target Archery, 28 metres, Team",Gold
"Adrie ""Ard"" Schenk",Netherlands,NED,1972 Winter,Sapporo,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
"Adrie ""Ard"" Schenk",Netherlands,NED,1972 Winter,Sapporo,Speed Skating,"Speed Skating Men's 5,000 metres",Gold
"Adrie ""Ard"" Schenk",Netherlands,NED,1972 Winter,Sapporo,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
Adrien Gry Rommel,France,FRA,1948 Summer,London,Fencing,"Fencing Men's Foil, Team",Gold
Adrien Gry Rommel,France,FRA,1952 Summer,Helsinki,Fencing,"Fencing Men's Foil, Team",Gold
Adrien Hardy,France,FRA,2004 Summer,Athina,Rowing,Rowing Men's Double Sculls,Gold
Aeriwentha Mae Faggs (-Starr),United States,USA,1952 Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Afanasijs Kuzmins,Soviet Union,URS,1988 Summer,Seoul,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Agafia Orlov-Buhaev-Constantin,Romania,ROU,1984 Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Agneta Monica Andersson,Sweden,SWE,1984 Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Agneta Monica Andersson,Sweden,SWE,1984 Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Agneta Monica Andersson,Sweden,SWE,1996 Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
Agostino Abbagnale,Italy,ITA,1988 Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
Agostino Abbagnale,Italy,ITA,1996 Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
Agostino Abbagnale,Italy,ITA,2000 Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
Agostino Straulino,Merope,ITA,1952 Summer,Helsinki,Sailing,Sailing Mixed Two Person Keelboat,Gold
Agustn Alejandro Mazzilli,Argentina,ARG,2016 Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
Ahmad Abughaush,Jordan,JOR,2016 Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
Ahmed bin Hasher Al-Maktoum,United Arab Emirates,UAE,2004 Summer,Athina,Shooting,Shooting Men's Double Trap,Gold
Ahmed Muhammad Boughera El Ouafi,France,FRA,1928 Summer,Amsterdam,Athletics,Athletics Men's Marathon,Gold
Ahmed Naseer Bunda,Pakistan,PAK,1960 Summer,Roma,Hockey,Hockey Men's Hockey,Gold
Ahmed Sher Khan,India,IND,1936 Summer,Berlin,Hockey,Hockey Men's Hockey,Gold
Ahmet Ayk,Turkey,TUR,1968 Summer,Mexico City,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Ahmet Bilek,Turkey,TUR,1960 Summer,Roma,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
Ahmet Kirei (Mersinli-),Turkey,TUR,1948 Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Ahsan Muhammad Khan,India,IND,1936 Summer,Berlin,Hockey,Hockey Men's Hockey,Gold
Ai Shibata,Japan,JPN,2004 Summer,Athina,Swimming,Swimming Women's 800 metres Freestyle,Gold
Aida Vladimirovna Shanayeva,Russia,RUS,2008 Summer,Beijing,Fencing,"Fencing Women's Foil, Team",Gold
"Aikaterini ""Ekaterini"" Stefanidi",Greece,GRE,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,Gold
Aileen Muriel Riggin (-Soule),United States,USA,1920 Summer,Antwerpen,Diving,Diving Women's Springboard,Gold
Aim Joseph Haegeman,Belgium,BEL,1900 Summer,Paris,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Aimilia Tsoulfa,Greece,GRE,2004 Summer,Athina,Sailing,Sailing Women's Two Person Dinghy,Gold
Akakios Kakiasvili,Unified Team,EUN,1992 Summer,Barcelona,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
Akakios Kakiasvili,Greece,GRE,1996 Summer,Atlanta,Weightlifting,Weightlifting Men's Heavyweight I,Gold
Akakios Kakiasvili,Greece,GRE,2000 Summer,Sydney,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
Akhtar Hussain,India,IND,1948 Summer,London,Hockey,Hockey Men's Hockey,Gold
Akinori Nakayama,Japan,JPN,1968 Summer,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,Gold
Akinori Nakayama,Japan,JPN,1968 Summer,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Akinori Nakayama,Japan,JPN,1968 Summer,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Akinori Nakayama,Japan,JPN,1968 Summer,Mexico City,Gymnastics,Gymnastics Men's Rings,Gold
Akinori Nakayama,Japan,JPN,1972 Summer,Munich,Gymnastics,Gymnastics Men's Team All-Around,Gold
Akinori Nakayama,Japan,JPN,1972 Summer,Munich,Gymnastics,Gymnastics Men's Rings,Gold
Aksel Lund Svindal,Norway,NOR,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Aladr Gerevich (-Gerei),Hungary,HUN,1932 Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
Aladr Gerevich (-Gerei),Hungary,HUN,1936 Summer,Berlin,Fencing,"Fencing Men's Sabre, Team",Gold
Aladr Gerevich (-Gerei),Hungary,HUN,1948 Summer,London,Fencing,"Fencing Men's Sabre, Individual",Gold
Aladr Gerevich (-Gerei),Hungary,HUN,1948 Summer,London,Fencing,"Fencing Men's Sabre, Team",Gold
Aladr Gerevich (-Gerei),Hungary,HUN,1952 Summer,Helsinki,Fencing,"Fencing Men's Sabre, Team",Gold
Aladr Gerevich (-Gerei),Hungary,HUN,1956 Summer,Melbourne,Fencing,"Fencing Men's Sabre, Team",Gold
Aladr Gerevich (-Gerei),Hungary,HUN,1960 Summer,Roma,Fencing,"Fencing Men's Sabre, Team",Gold
Aladr Kovcsi,Hungary,HUN,1952 Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Alain (Ali-) Mimoun Ould Kacha,France,FRA,1956 Summer,Melbourne,Athletics,Athletics Men's Marathon,Gold
Alain Andr Louis Edmond Bernard,France,FRA,2008 Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Gold
Alain Andr Louis Edmond Bernard,France,FRA,2012 Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Alajos Keser,Hungary,HUN,1932 Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
