Name,Team,NOC,Games,City,Sport,Event,Medal
Bo Sigfrid Gabriel Lindman,Sweden,SWE,1924 Summer,Paris,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Bo Urban Mikael Ljungberg,Sweden,SWE,2000 Summer,Sydney,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
Bob Johannes Carolus de Jong,Netherlands,NED,2006 Winter,Torino,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
Bobby Joe Morrow,United States,USA,1956 Summer,Melbourne,Athletics,Athletics Men's 100 metres,Gold
Bobby Joe Morrow,United States,USA,1956 Summer,Melbourne,Athletics,Athletics Men's 200 metres,Gold
Bobby Joe Morrow,United States,USA,1956 Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Boena Srncov (-Krejcarov),Czechoslovakia,TCH,1948 Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Gold
Bogdan Musiol,East Germany-1,GDR,1980 Winter,Lake Placid,Bobsleigh,Bobsleigh Men's Four,Gold
Bohdan Volodymyrovych Makuts,Soviet Union,URS,1980 Summer,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Gold
Bohumil Kudrna,Czechoslovakia,TCH,1948 Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
Bohumil Nmeek,Czechoslovakia,TCH,1960 Summer,Roma,Boxing,Boxing Men's Light-Welterweight,Gold
Boidar Jovi,Croatia,CRO,1996 Summer,Atlanta,Handball,Handball Men's Handball,Gold
Bong Jung-Keun,South Korea,KOR,2008 Summer,Beijing,Baseball,Baseball Men's Baseball,Gold
Bonnie Kathleen Blair (-Cruikshank),United States,USA,1988 Winter,Calgary,Speed Skating,Speed Skating Women's 500 metres,Gold
Bonnie Kathleen Blair (-Cruikshank),United States,USA,1992 Winter,Albertville,Speed Skating,Speed Skating Women's 500 metres,Gold
Bonnie Kathleen Blair (-Cruikshank),United States,USA,1992 Winter,Albertville,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
Bonnie Kathleen Blair (-Cruikshank),United States,USA,1994 Winter,Lillehammer,Speed Skating,Speed Skating Women's 500 metres,Gold
Bonnie Kathleen Blair (-Cruikshank),United States,USA,1994 Winter,Lillehammer,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
Boo Vuleti,Yugoslavia,YUG,1984 Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Boris Aleksandrovich Mayorov,Soviet Union,URS,1964 Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Boris Aleksandrovich Mayorov,Soviet Union,URS,1968 Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Boris Arsenyevich Shilkov,Soviet Union,URS,1956 Winter,Cortina d'Ampezzo,Speed Skating,"Speed Skating Men's 5,000 metres",Gold
Boris Borisovich Kokorev,Russia,RUS,1996 Summer,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
Boris Borisovich Melnikov,Soviet Union,URS,1964 Summer,Tokyo,Fencing,"Fencing Men's Sabre, Team",Gold
Boris Davidovich Razinsky,Soviet Union,URS,1956 Summer,Melbourne,Football,Football Men's Football,Gold
Boris Dmitriyevich Kuznetsov,Soviet Union,URS,1956 Summer,Melbourne,Football,Football Men's Football,Gold
Boris Franz Becker,Germany,GER,1992 Summer,Barcelona,Tennis,Tennis Men's Doubles,Gold
Boris Georgiyevich Kuznetsov,Soviet Union,URS,1972 Summer,Munich,Boxing,Boxing Men's Featherweight,Gold
Boris Georgiyevich Tatushin,Soviet Union,URS,1956 Summer,Melbourne,Football,Football Men's Football,Gold
Boris Khabalovich Shukhov,Soviet Union,URS,1972 Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Boris Louis Sanson,France,FRA,2008 Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Gold
Boris Maksovich Gurevich,Soviet Union,URS,1952 Summer,Helsinki,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold
Boris Mikhaylovich Zaytsev,Soviet Union,URS,1964 Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Boris Nikolayevich Koretsky,Soviet Union,URS,1988 Summer,Seoul,Fencing,"Fencing Men's Foil, Team",Gold
Boris Nikolayevich Lagutin,Soviet Union,URS,1964 Summer,Tokyo,Boxing,Boxing Men's Light-Middleweight,Gold
Boris Nikolayevich Lagutin,Soviet Union,URS,1968 Summer,Mexico City,Boxing,Boxing Men's Light-Middleweight,Gold
Boris Petrovich Mikhaylov,Soviet Union,URS,1972 Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Boris Petrovich Mikhaylov,Soviet Union,URS,1976 Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Boris Sergeyevich Selitsky,Soviet Union,URS,1968 Summer,Mexico City,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
Boris Viktorovich Aleksandrov,Soviet Union,URS,1976 Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Boris Yakovlevich Dubrovsky,Soviet Union,URS,1964 Summer,Tokyo,Rowing,Rowing Men's Double Sculls,Gold
Borislav Krastev Gidikov,Bulgaria,BUL,1988 Summer,Seoul,Weightlifting,Weightlifting Men's Middleweight,Gold
"Borivoje ""Bora"" Kosti",Yugoslavia,YUG,1960 Summer,Roma,Football,Football Men's Football,Gold
Borys Anfiyanovych Shakhlin,Soviet Union,URS,1956 Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Gold
Borys Anfiyanovych Shakhlin,Soviet Union,URS,1956 Summer,Melbourne,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Borys Anfiyanovych Shakhlin,Soviet Union,URS,1960 Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Borys Anfiyanovych Shakhlin,Soviet Union,URS,1960 Summer,Roma,Gymnastics,Gymnastics Men's Horse Vault,Gold
Borys Anfiyanovych Shakhlin,Soviet Union,URS,1960 Summer,Roma,Gymnastics,Gymnastics Men's Parallel Bars,Gold
Borys Anfiyanovych Shakhlin,Soviet Union,URS,1960 Summer,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Borys Anfiyanovych Shakhlin,Soviet Union,URS,1964 Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Borys Hryhorovych Onyshchenko,Soviet Union,URS,1972 Summer,Munich,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Borys Mykhailovych Hurevych,Soviet Union,URS,1968 Summer,Mexico City,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
Borys Pavlovych Tereshchuk,Soviet Union,URS,1968 Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,Gold
Botond Storcz,Hungary,HUN,2000 Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Gold
Botond Storcz,Hungary,HUN,2000 Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Botond Storcz,Hungary,HUN,2004 Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Boyan Aleksandrov Radev,Bulgaria,BUL,1964 Summer,Tokyo,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Boyan Aleksandrov Radev,Bulgaria,BUL,1968 Summer,Mexico City,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
"Bradford Paul ""Brad"" Cooper",Australia,AUS,1972 Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,Gold
"Bradley ""Brad"" Jacobs",Canada,CAN,2014 Winter,Sochi,Curling,Curling Men's Curling,Gold
Bradley Alan Lewis,United States,USA,1984 Summer,Los Angeles,Rowing,Rowing Men's Double Sculls,Gold
Bradley Darrell Schumacher,United States,USA,1996 Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Bradley Darrell Schumacher,United States,USA,1996 Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
"Bradley John ""Brad"" McGee",Australia,AUS,2004 Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Bradley Marc Wiggins,Great Britain,GBR,2004 Summer,Athina,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Bradley Marc Wiggins,Great Britain,GBR,2008 Summer,Beijing,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
Bradley Marc Wiggins,Great Britain,GBR,2008 Summer,Beijing,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Bradley Marc Wiggins,Great Britain,GBR,2012 Summer,London,Cycling,Cycling Men's Individual Time Trial,Gold
Bradley Marc Wiggins,Great Britain,GBR,2016 Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
"Bradley Michael ""Brad"" Bridgewater",United States,USA,1996 Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,Gold
"Bradley Raymond ""Brad"" Gushue",Canada,CAN,2006 Winter,Torino,Curling,Curling Men's Curling,Gold
Brahim Asloum,France,FRA,2000 Summer,Sydney,Boxing,Boxing Men's Light-Flyweight,Gold
Brandi Denise Chastain,United States,USA,1996 Summer,Atlanta,Football,Football Women's Football,Gold
Brandi Denise Chastain,United States,USA,2004 Summer,Athina,Football,Football Women's Football,Gold
Brandon Douglas Slay,United States,USA,2000 Summer,Sydney,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
Branislav Mitrovi,Serbia,SRB,2016 Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
Branislav Pokrajac,Yugoslavia,YUG,1972 Summer,Munich,Handball,Handball Men's Handball,Gold
Branislav Simi,Yugoslavia,YUG,1964 Summer,Tokyo,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
Branko Skroe,Yugoslavia,YUG,1980 Summer,Moskva,Basketball,Basketball Men's Basketball,Gold
Branko trbac,Yugoslavia,YUG,1984 Summer,Los Angeles,Handball,Handball Men's Handball,Gold
Brbel Eckert-Wckel,East Germany,GDR,1976 Summer,Montreal,Athletics,Athletics Women's 200 metres,Gold
Brbel Eckert-Wckel,East Germany,GDR,1976 Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Brbel Eckert-Wckel,East Germany,GDR,1980 Summer,Moskva,Athletics,Athletics Women's 200 metres,Gold
Brbel Eckert-Wckel,East Germany,GDR,1980 Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Breanna Mackenzie Stewart,United States,USA,2016 Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
Breeja Larson,United States,USA,2012 Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Brenda Joan Phillips,Zimbabwe,ZIM,1980 Summer,Moskva,Hockey,Hockey Women's Hockey,Gold
Brenda Mersereau Helser (-de Morelos),United States,USA,1948 Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Brenda Susan Taylor,Canada,CAN,1992 Summer,Barcelona,Rowing,Rowing Women's Coxless Fours,Gold
Brenda Susan Taylor,Canada,CAN,1992 Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
Brenda Villa,United States,USA,2012 Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
Brendan Frederick Shanahan,Canada,CAN,2002 Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Brendan Joseph Hansen,United States,USA,2004 Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Brendan Joseph Hansen,United States,USA,2008 Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Brendan Joseph Hansen,United States,USA,2012 Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Brenden Morrow,Canada,CAN,2010 Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Brent Dennis Lang,United States,USA,1988 Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Brent James Livermore,Australia,AUS,2004 Summer,Athina,Hockey,Hockey Men's Hockey,Gold
Brent Seabrook,Canada,CAN,2010 Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Brett Aitken,Australia,AUS,2000 Summer,Sydney,Cycling,Cycling Men's Madison,Gold
Brett Daniel Lancaster,Australia,AUS,2004 Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Brian Anthony Boitano,United States,USA,1988 Winter,Calgary,Figure Skating,Figure Skating Men's Singles,Gold
Brian John Crago,Australia,AUS,1960 Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Brian M. Lewis,United States,USA,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Brian Price,Canada,CAN,2008 Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
Brian Stuart Goodell,United States,USA,1976 Summer,Montreal,Swimming,Swimming Men's 400 metres Freestyle,Gold
Brian Stuart Goodell,United States,USA,1976 Summer,Montreal,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
Briana Collette Scurry,United States,USA,1996 Summer,Atlanta,Football,Football Women's Football,Gold
Briana Collette Scurry,United States,USA,2004 Summer,Athina,Football,Football Women's Football,Gold
Brianna Rollins,United States,USA,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Gold
Brianne Alexandra Jenner,Canada,CAN,2014 Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Brice Emmanuel Guyart,France,FRA,2000 Summer,Sydney,Fencing,"Fencing Men's Foil, Team",Gold
Brice Emmanuel Guyart,France,FRA,2004 Summer,Athina,Fencing,"Fencing Men's Foil, Individual",Gold
Bridget Parker,Great Britain,GBR,1972 Summer,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Bridgette C. Gordon,United States,USA,1988 Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
Bridgette Marie Gusterson (-Ireland),Australia,AUS,2000 Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
Brigitte Ahrenholz,East Germany,GDR,1976 Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold
Brigitte Latrille-Gaudin,France,FRA,1980 Summer,Moskva,Fencing,"Fencing Women's Foil, Team",Gold
Brigitte McMahon (Huber-),Switzerland,SUI,2000 Summer,Sydney,Triathlon,Triathlon Women's Olympic Distance,Gold
Brigitte Rohde (-Khn),East Germany,GDR,1976 Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Brimin Kiprop (Firmin-) Kipruto,Kenya,KEN,2008 Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Brit Pettersen (-Tofte),Norway,NOR,1984 Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Brit Sandaune,Norway,NOR,2000 Summer,Sydney,Football,Football Women's Football,Gold
Britt Marianne Strandberg (-Lundn),Sweden,SWE,1960 Winter,Squaw Valley,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Gold
Britta Heidemann,Germany,GER,2008 Summer,Beijing,Fencing,"Fencing Women's epee, Individual",Gold
Britta Steffen,Germany,GER,2008 Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,Gold
Britta Steffen,Germany,GER,2008 Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,Gold
Brittany Joyce Elmslie,Australia,AUS,2012 Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Brittany Joyce Elmslie,Australia,AUS,2016 Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Brittney Davon Reese,United States,USA,2012 Summer,London,Athletics,Athletics Women's Long Jump,Gold
Brittney Yevette Griner,United States,USA,2016 Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
"Britton Chance, Sr.",Complex II,USA,1952 Summer,Helsinki,Sailing,Sailing Mixed 5.5 metres,Gold
Bronisaw Bebel,Poland,POL,1976 Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
Bronisaw Malinowski,Poland,POL,1980 Summer,Moskva,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
Bronte Amelia Arnold Barratt,Australia,AUS,2008 Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
Bronte Campbell,Australia,AUS,2016 Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Bronwyn Mayer-Smith,Australia,AUS,2000 Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
Brooke Louise Hanson (-Clarke),Australia,AUS,2004 Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Brooke Marie Bennett (-Frioud),United States,USA,1996 Summer,Atlanta,Swimming,Swimming Women's 800 metres Freestyle,Gold
Brooke Marie Bennett (-Frioud),United States,USA,2000 Summer,Sydney,Swimming,Swimming Women's 400 metres Freestyle,Gold
Brooke Marie Bennett (-Frioud),United States,USA,2000 Summer,Sydney,Swimming,Swimming Women's 800 metres Freestyle,Gold
Broome Eric Pinniger,India,IND,1928 Summer,Amsterdam,Hockey,Hockey Men's Hockey,Gold
Broome Eric Pinniger,India,IND,1932 Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Bror Erik Alvar Bladstrm,Sweden,SWE,1936 Summer,Berlin,Canoeing,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Gold
Bror Helge Gustafsson,Sweden,SWE,1920 Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Bror Karl Fock,Sweden,SWE,1912 Summer,Stockholm,Athletics,"Athletics Men's Cross-Country, Team",Gold
Bror Karl Stefan rnskog,Sweden,SWE,1994 Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Bror Viking Palm,Sweden,SWE,1952 Summer,Helsinki,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Bruce D. Robertson,Canada,CAN,1992 Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
Bruce Ira Harlan,United States,USA,1948 Summer,London,Diving,Diving Men's Springboard,Gold
Bruce MacFarlane Furniss,United States,USA,1976 Summer,Montreal,Swimming,Swimming Men's 200 metres Freestyle,Gold
Bruce MacFarlane Furniss,United States,USA,1976 Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Bruce Oram Davidson,United States,USA,1976 Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Bruce Oram Davidson,United States,USA,1984 Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Bruce Robert Baumgartner,United States,USA,1984 Summer,Los Angeles,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Bruce Robert Baumgartner,United States,USA,1992 Summer,Barcelona,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Brunello Spinelli,Italy,ITA,1960 Summer,Roma,Water Polo,Water Polo Men's Water Polo,Gold
"Bruno ""Bruninho"" Mossa de Rezende",Brazil,BRA,2016 Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
Bruno Bianchi,Italia,ITA,1936 Summer,Berlin,Sailing,Sailing Mixed 8 metres,Gold
Bruno Boscherie,France,FRA,1980 Summer,Moskva,Fencing,"Fencing Men's Foil, Team",Gold
Bruno Cipolla,Italy,ITA,1968 Summer,Mexico City,Rowing,Rowing Men's Coxed Pairs,Gold
Bruno Gudelj,Croatia,CRO,1996 Summer,Atlanta,Handball,Handball Men's Handball,Gold
Bruno Julius Wagner,Germany,GER,1906 Summer,Athina,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Bruno Mller,Germany,GER,1928 Summer,Amsterdam,Rowing,Rowing Men's Coxless Pairs,Gold
Bruno Oscar Schmidt,Brazil-1,BRA,2016 Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
Bruno Venturini,Italy,ITA,1936 Summer,Berlin,Football,Football Men's Football,Gold
Bruny Surin,Canada,CAN,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Bryan Daniel Volpenhein,United States,USA,2004 Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Bryan Ezra Tsumoru Clay,United States,USA,2008 Summer,Beijing,Athletics,Athletics Men's Decathlon,Gold
Bulcs Szkely,Hungary,HUN,2000 Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
"Burdette Eliele ""Burdie"" Haldorson",United States,USA,1956 Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
"Burdette Eliele ""Burdie"" Haldorson",United States,USA,1960 Summer,Roma,Basketball,Basketball Men's Basketball,Gold
"Burton Albert ""Burt"" Jastram",United States,USA,1932 Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Burton Cecil Downing,United States,USA,1904 Summer,St. Louis,Cycling,Cycling Men's 2 mile,Gold
Burton Cecil Downing,United States,USA,1904 Summer,St. Louis,Cycling,Cycling Men's 25 mile,Gold
"Burwell Otis ""Bumpy"" Jones",United States,USA,1952 Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Buvaysar Khamidovich Saytiyev,Russia,RUS,1996 Summer,Atlanta,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
Buvaysar Khamidovich Saytiyev,Russia,RUS,2004 Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
Buvaysar Khamidovich Saytiyev,Russia,RUS,2008 Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
Byeon Cheon-Sa,South Korea,KOR,2006 Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
Cael Norman Sanderson,United States,USA,2004 Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Caeleb Remel Dressel,United States,USA,2016 Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Caeleb Remel Dressel,United States,USA,2016 Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Caesar J. (Cesare-) Mannelli (Rambaldi-),United States,USA,1924 Summer,Paris,Rugby,Rugby Men's Rugby,Gold
Cai Yalin,China,CHN,2000 Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
Cai Yun,China-1,CHN,2012 Summer,London,Badminton,Badminton Men's Doubles,Gold
Caia Jaqueline van Maasakker,Netherlands,NED,2012 Summer,London,Hockey,Hockey Women's Hockey,Gold
Caldwell Blackman Esselstyn,United States,USA,1956 Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold
Callum Skinner,Great Britain,GBR,2016 Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,Gold
"Calvin Bernard ""Cal"" Fowler",United States,USA,1968 Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
Calvin Smith,United States,USA,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Camelia Alina Potec,Romania,ROU,2004 Summer,Athina,Swimming,Swimming Women's 200 metres Freestyle,Gold
Camelia Macoviciuc-Mihalcea,Romania,ROU,1996 Summer,Atlanta,Rowing,Rowing Women's Lightweight Double Sculls,Gold
Cameron van der Burgh,South Africa,RSA,2012 Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Camilla Herrem,Norway,NOR,2012 Summer,London,Handball,Handball Women's Handball,Gold
Camilla Ingemann Thomsen (-Haar),Denmark,DEN,2004 Summer,Athina,Handball,Handball Women's Handball,Gold
Camilla Rseler Andersen,Denmark,DEN,1996 Summer,Atlanta,Handball,Handball Women's Handball,Gold
Camilla Rseler Andersen,Denmark,DEN,2000 Summer,Sydney,Handball,Handball Women's Handball,Gold
Camille-Marie Manuella Muffat,France,FRA,2012 Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Gold
"Candace ""Candy"" Costie (-Burke, -Merrill)",United States,USA,1984 Summer,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Candace Nicole Parker (-Williams),United States,USA,2008 Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
Candace Nicole Parker (-Williams),United States,USA,2012 Summer,London,Basketball,Basketball Women's Basketball,Gold
Candra Wijaya,Indonesia,INA,2000 Summer,Sydney,Badminton,Badminton Men's Doubles,Gold
Cao Lei,China,CHN,2008 Summer,Beijing,Weightlifting,Weightlifting Women's Heavyweight,Gold
Cao Yuan,China,CHN,2012 Summer,London,Diving,Diving Men's Synchronized Platform,Gold
Cao Yuan,China,CHN,2016 Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Gold
Cappie Marie Pondexter,United States,USA,2008 Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
Caren Metschuck (-Mahn),East Germany,GDR,1980 Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Caren Metschuck (-Mahn),East Germany,GDR,1980 Summer,Moskva,Swimming,Swimming Women's 100 metres Butterfly,Gold
Caren Metschuck (-Mahn),East Germany,GDR,1980 Summer,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Carey Price,Canada,CAN,2014 Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Carin Leslie Gabarra (Jennings-),United States,USA,1996 Summer,Atlanta,Football,Football Women's Football,Gold
Carina Br,Germany,GER,2016 Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Gold
Carina Marguerite Benninga,Netherlands,NED,1984 Summer,Los Angeles,Hockey,Hockey Women's Hockey,Gold
Carina Vogt,Germany,GER,2014 Winter,Sochi,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",Gold
Carl Adolf Hjalmar Bertilsson,Sweden,SWE,1908 Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Carl Albert Andersen,Norway,NOR,1906 Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Gold
Carl Alfred Erhardt,Great Britain,GBR,1936 Winter,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Carl Alfred Pedersen,Norway,NOR,1906 Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Gold
"Carl Anton ""Toni"" Rom",Germany,GER,1936 Summer,Berlin,Rowing,Rowing Men's Coxless Fours,Gold
Carl August Bjrkman,Sweden,SWE,1912 Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Carl August Herold Jansson,Denmark,DEN,1920 Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Carl August Hjalmar Johansson,Sweden,SWE,1908 Summer,London,Diving,Diving Men's Platform,Gold
Carl August Leonard Lundquist,Sweden,SWE,1912 Summer,Stockholm,Cycling,"Cycling Men's Road Race, Team",Gold
"Carl August Ringvold, Jr.",Bera,NOR,1924 Summer,Paris,Sailing,Sailing Mixed 8 metres,Gold
"Carl August Ringvold, Sr.",Irene,NOR,1920 Summer,Antwerpen,Sailing,Sailing Mixed 8 metres,Gold
"Carl August Ringvold, Sr.",Bera,NOR,1924 Summer,Paris,Sailing,Sailing Mixed 8 metres,Gold
Carl Cecil Cain,United States,USA,1956 Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
